Col1,Col2,Col3,Col4,Col5,Col6
#ff0048,#ff00c8,#eeff00,#1f0233,#24053a,#00ffda
#e901ff,#ffc601,#95C6C6,#03014c,#050260,#f200ff
#ff4dde,#ff4de7,#57bbf1,#03014c,#050260,#f200ff
#fdc449,#fe2281,#b76bfe,#011ffd,#050260,#f200ff
#ff0048,#ee00ff,#eeff00,#1f0233,#24053a,#00ffda
#ff0048,#8c00ff,#eeff00,#1f0233,#24053a,#00ffda
#ff0048,#00d5ff,#eeff00,#1f0233,#24053a,#00ffda
#ff0048,#00ff91,#eeff00,#1f0233,#24053a,#00ffda
#ff0048,#d4ff00,#00d5ff,#1f0233,#24053a,#00ffda
#ff0048,#ff8800,#00d5ff,#1f0233,#24053a,#00ffda
#ff00dd,#a600ff,#00d5ff,#1f0233,#24053a,#00ffda
#ff00dd,#00ccff,#ff0000,#1f0233,#24053a,#00ffda
#ff00dd,#00ccff,#9900ff,#1f0233,#24053a,#00ffda
#ff00dd,#00ffd5,#9900ff,#1f0233,#24053a,#00ffda
#ff00dd,#00ff7b,#9900ff,#1f0233,#24053a,#00ffda
#ff00dd,#99ff00,#9900ff,#1f0233,#24053a,#00ffda
#ff00dd,#eeff00,#9900ff,#1f0233,#24053a,#00ffda
#ff00dd,#ff7b00,#9900ff,#1f0233,#24053a,#00ffda
#ff00dd,#ff0000,#9900ff,#1f0233,#24053a,#00ffda
#e100ff,#8c00ff,#00ffe0,#1f0233,#24053a,#00ffda
#e100ff,#00ccff,#00ffe0,#1f0233,#24053a,#00ffda
#e100ff,#00ff9d,#00ffe0,#1f0233,#24053a,#00ffda
#e100ff,#fff700,#00ffe0,#1f0233,#24053a,#00ffda
#e100ff,#ff6600,#00ffe0,#1f0233,#24053a,#00ffda
#e100ff,#ff0000,#9500ff,#1f0233,#24053a,#00ffda
#7300ff,#ff00bb,#00ffe0,#1f0233,#24053a,#00ffda
#7300ff,#d400ff,#00ffe0,#1f0233,#24053a,#00ffda
#7300ff,#00ffee,#00ffe0,#1f0233,#24053a,#00ffda
#7300ff,#fff700,#00ffe0,#1f0233,#24053a,#00ffda
#7300ff,#ff5900,#9500ff,#1f0233,#24053a,#00ffda
#7300ff,#ff0000,#00ffe0,#1f0233,#24053a,#00ffda
#00e1ff,#ff00f7,#00ffe0,#1f0233,#24053a,#00ffda
#ff0048,#ff0048,#eeff00,#1f0233,#24053a,#00ffda
#e901ff,#e901ff,#95C6C6,#03014c,#050260,#f200ff
#ff4dde,#ff4dde,#57bbf1,#03014c,#050260,#f200ff
#fdc449,#fdc449,#b76bfe,#011ffd,#050260,#f200ff
#ff0048,#ff0048,#00d5ff,#1f0233,#24053a,#00ffda
#ff00dd,#ff00dd,#00d5ff,#1f0233,#24053a,#00ffda
#e100ff,#e100ff,#00ffe0,#1f0233,#24053a,#00ffda
#7300ff,#7300ff,#00ffe0,#1f0233,#24053a,#00ffda
#00e1ff,#00e1ff,#ff00ff,#1f0233,#24053a,#00ffda

                                 